district_type_code,zone_type,district_title,old_description,juan_description,zoning_code_section,floor_area_ratio,maximum_building_height,lot_area_per_unit,front_yard_setback,side_setback,rear_yard_setback,rear_yard_open_space,on_site_open_space,minimum_lot_area
RS-1,4,RS-1 Single-Family,Single-Family Residential,Detached single-family houses on large lots. Lowest density residential district.,17-2-0200,0.5,"30 ft, 2 stories",6250 sq ft/dwelling unit,20 ft,"30% of lot width (combined); each side min 5 ft or 10% of lot width, whichever is greater (Sec. 17-2-0309)",50 ft,,,6250
RS-2,4,RS-2 Single-Family,Single-Family Residential,Detached single-family houses. Low density suburban character.,17-2-0200,0.65,"30 ft, 2 stories",5000 sq ft/dwelling unit,15 ft,"30% of lot width (combined); each side min 4 ft or 10% of lot width, whichever is greater (Sec. 17-2-0309)",30 ft,,,5000
RS-3,4,RS-3 Single-Family,Single-Family Residential,Detached single-family houses. Standard residential lots.,17-2-0200,0.9,"30 ft, 2 stories",2500 sq ft/dwelling unit,15 ft,"20% of lot width (combined); each side min 2 ft or 8% of lot width, whichever is greater (Sec. 17-2-0309)",28 ft,,,2500
RT-3.5,4,RT-3.5 Two-Flat/Townhouse,Two-Flat/Townhouse Residential,Two-flats and townhouses. Low-medium density residential areas.,17-2-0300,1.05,"35 ft, 2.5 stories",1250 sq ft/dwelling unit,15 ft,"20% of lot width (combined); each side min 2 ft or 8% of lot width, max 5 ft per side (Sec. 17-2-0309)",30 ft,36 sq ft/DU,,2500
RT-4,4,RT-4 Two-Flat/Townhouse,Two-Flat/Townhouse Residential,Two-flats and townhouses. Medium density residential.,17-2-0300,1.2,"38 ft, 3 stories",1000 sq ft/dwelling unit,15 ft,"20% of lot width (combined); each side min 2 ft or 8% of lot width, max 5 ft per side (Sec. 17-2-0309)",30 ft,36 sq ft/DU,,1000
RM-4.5,4,RM-4.5 Multi-Unit,Multi-Unit Residential,Low-rise apartment buildings. Medium density neighborhoods.,17-2-0400,1.7,45 ft (lot frontage < 32 ft) or 47 ft (lot frontage ≥ 32 ft) (Sec. 17-2-0311),700 sq ft/dwelling unit,15 ft,"20% of lot width (combined); each side min 2 ft or 8% of lot width, max 5 ft per side (Sec. 17-2-0309)",30 ft,36 sq ft/DU,36 sq ft/DU,1650
RM-5,4,RM-5 Multi-Unit,Multi-Unit Residential,Mid-rise apartment buildings. Medium-high density residential.,17-2-0400,2.0,45 ft (lot frontage < 32 ft) or 47 ft (lot frontage ≥ 32 ft) (Sec. 17-2-0311),400 sq ft/dwelling unit,15 ft,"20% of lot width (combined); each side min 2 ft or 8% of lot width, max 5 ft per side (Sec. 17-2-0309)",30 ft,36 sq ft/DU,36 sq ft/DU,1650
RM-5.5,4,RM-5.5 Multi-Unit,Multi-Unit Residential,Mid-rise apartment buildings. High density residential.,17-2-0400,2.5,47 ft (lot frontage ≤ 75 ft) or 60 ft (lot frontage > 75 ft) (Sec. 17-2-0311),400 sq ft/dwelling unit,15 ft,"20% of lot width (combined); each side min 2 ft or 8% of lot width, max 5 ft per side (Sec. 17-2-0309)",30 ft,36 sq ft/DU,36 sq ft/DU,1650
RM-6,4,RM-6 Multi-Unit,Multi-Unit Residential,High-rise apartment buildings. Highest general density residential.,17-2-0400,4.4,None (tall buildings require Planned Development approval; Sec. 17-13-0600),300 sq ft/dwelling unit,15 ft,None for buildings covering ≤50% of lot; for >50% lot coverage each side min 10% of lot width or 10% of building height whichever is greater (max 20 ft) (Sec. 17-2-0309),30 ft,36 sq ft/DU,36 sq ft/DU,1650
RM-6.5,4,RM-6.5 Multi-Unit,Multi-Unit Residential,High-rise apartment buildings. Lakefront and transit corridor residential.,17-2-0400,6.6,None (tall buildings require Planned Development approval; Sec. 17-13-0600),300 sq ft/dwelling unit,15 ft,None for buildings covering ≤50% of lot; for >50% lot coverage each side min 10% of lot width or 10% of building height whichever is greater (max 20 ft) (Sec. 17-2-0309),30 ft,36 sq ft/DU,36 sq ft/DU,1650
B1-1,1,B1-1 Neighborhood Shopping,Neighborhood Shopping,Small-scale retail and service uses. Local shopping streets.,17-3-0100,1.2,38 ft (Sec. 17-3-0408),2500 sq ft/dwelling unit,0,0,30 ft,,,None
B1-1.5,1,B1-1.5 Neighborhood Shopping,Neighborhood Shopping,Neighborhood retail with some residential above.,17-3-0100,1.5,38 ft (Sec. 17-3-0408),1350 sq ft/dwelling unit,0,0,30 ft,,,None
B1-2,1,B1-2 Neighborhood Shopping,Neighborhood Shopping,Neighborhood mixed-use retail and residential.,17-3-0100,2.2,Varies by lot frontage (45-50 ft; Sec. 17-3-0408),1000 sq ft/dwelling unit,0,0,30 ft,,,None
B1-3,1,B1-3 Neighborhood Shopping,Neighborhood Shopping,Neighborhood-scale mixed use with higher density residential.,17-3-0100,3.0,Varies by lot frontage (50-65 ft; Sec. 17-3-0408),400 sq ft/dwelling unit,0,0,30 ft,,,None
B1-5,1,B1-5 Neighborhood Shopping,Neighborhood Shopping,Neighborhood commercial with high density residential.,17-3-0100,5.0,Varies by lot frontage (50-80 ft; Sec. 17-3-0408),200 sq ft/dwelling unit,0,0,30 ft,,,None
B2-1,1,B2-1 Neighborhood Mixed-Use,Neighborhood Mixed-Use,Auto-oriented commercial areas.,17-3-0200,1.2,38 ft (Sec. 17-3-0408),2500 sq ft/dwelling unit,0,0,30 ft,,,None
B2-2,1,B2-2 Neighborhood Mixed-Use,Neighborhood Mixed-Use,Mixed-use corridors with moderate scale.,17-3-0200,2.2,Varies by lot frontage (45-50 ft; Sec. 17-3-0408),1000 sq ft/dwelling unit,0,0,30 ft,,,None
B2-3,1,B2-3 Neighborhood Mixed-Use,Neighborhood Mixed-Use,Mixed-use with moderate-high density residential.,17-3-0200,3.0,Varies by lot frontage (50-65 ft; Sec. 17-3-0408),400 sq ft/dwelling unit,0,0,30 ft,,,None
B2-5,1,B2-5 Neighborhood Mixed-Use,Neighborhood Mixed-Use,Mixed-use corridors with high density residential.,17-3-0200,5.0,Varies by lot frontage (50-80 ft; Sec. 17-3-0408),200 sq ft/dwelling unit,0,0,30 ft,,,None
B3-1,1,B3-1 Community Shopping,Community Shopping,Larger-scale commercial and retail areas.,17-3-0300,1.2,38 ft (Sec. 17-3-0408),2500 sq ft/dwelling unit,0,0,30 ft,,,None
B3-2,1,B3-2 Community Shopping,Community Shopping,Community-scale commercial with residential.,17-3-0300,2.2,Varies by lot frontage (45-50 ft; Sec. 17-3-0408),1000 sq ft/dwelling unit,0,0,30 ft,,,None
B3-3,1,B3-3 Community Shopping,Community Shopping,Community commercial with moderate-high density.,17-3-0300,3.0,Varies by lot frontage (50-65 ft; Sec. 17-3-0408),400 sq ft/dwelling unit,0,0,30 ft,,,None
B3-5,1,B3-5 Community Shopping,Community Shopping,Community commercial with high density residential above.,17-3-0300,5.0,Varies by lot frontage (50-80 ft; Sec. 17-3-0408),200 sq ft/dwelling unit,0,0,30 ft,,,None
C1-1,2,C1-1 Neighborhood Commercial,Neighborhood Commercial,Small neighborhood commercial. Office and limited retail.,17-4-0100,1.2,38 ft (Sec. 17-3-0408),2500 sq ft/dwelling unit,0,0,30 ft,,,None
C1-2,2,C1-2 Neighborhood Commercial,Neighborhood Commercial,Neighborhood commercial with moderate density residential.,17-4-0100,2.2,Varies by lot frontage (45-50 ft; Sec. 17-3-0408),1000 sq ft/dwelling unit,0,0,30 ft,,,None
C1-3,2,C1-3 Neighborhood Commercial,Neighborhood Commercial,Neighborhood commercial with higher density residential.,17-4-0100,3.0,Varies by lot frontage (50-65 ft; Sec. 17-3-0408),400 sq ft/dwelling unit,0,0,30 ft,,,None
C1-5,2,C1-5 Neighborhood Commercial,Neighborhood Commercial,Neighborhood commercial with high density residential.,17-4-0100,5.0,Varies by lot frontage (50-80 ft; Sec. 17-3-0408),200 sq ft/dwelling unit,0,0,30 ft,,,None
C2-1,2,C2-1 Motor Vehicle-Related Commercial,Motor Vehicle Commercial,Auto-oriented commercial uses. Gas stations and car lots.,17-4-0200,1.2,38 ft (Sec. 17-3-0408),2500 sq ft/dwelling unit,0,0,30 ft,,,None
C2-2,2,C2-2 Motor Vehicle-Related Commercial,Motor Vehicle Commercial,Motor vehicle commercial with residential.,17-4-0200,2.2,Varies by lot frontage (45-50 ft; Sec. 17-3-0408),1000 sq ft/dwelling unit,0,0,30 ft,,,None
C2-3,2,C2-3 Motor Vehicle-Related Commercial,Motor Vehicle Commercial,Motor vehicle commercial with higher density.,17-4-0200,3.0,Varies by lot frontage (50-65 ft; Sec. 17-3-0408),400 sq ft/dwelling unit,0,0,30 ft,,,None
C2-5,2,C2-5 Motor Vehicle-Related Commercial,Motor Vehicle Commercial,Motor vehicle commercial with high density.,17-4-0200,5.0,Varies by lot frontage (50-80 ft; Sec. 17-3-0408),200 sq ft/dwelling unit,0,0,30 ft,,,None
C3-1,2,C3-1 Commercial Manufacturing,Commercial Manufacturing,Light commercial-manufacturing uses.,17-4-0300,1.2,38 ft (Sec. 17-3-0408),2500 sq ft/dwelling unit,0,0,30 ft,,,None
C3-2,2,C3-2 Commercial Manufacturing,Commercial Manufacturing,Commercial-manufacturing with residential.,17-4-0300,2.2,Varies by lot frontage (45-50 ft; Sec. 17-3-0408),1000 sq ft/dwelling unit,0,0,30 ft,,,None
C3-5,2,C3-5 Commercial Manufacturing,Commercial Manufacturing,Commercial-manufacturing with high density.,17-4-0300,5.0,Varies by lot frontage (50-80 ft; Sec. 17-3-0408),200 sq ft/dwelling unit,0,0,30 ft,,,None
M1-1,3,M1-1 Limited Manufacturing,Limited Manufacturing,Light manufacturing and warehouse uses.,17-5-0100,1.0,"30 ft, 2 stories",None,0,0,30 ft,,,None
M1-2,3,M1-2 Limited Manufacturing,Limited Manufacturing,Limited manufacturing with some office/commercial.,17-5-0100,2.2,"45 ft, 4 stories",None,0,0,30 ft,,,None
M1-3,3,M1-3 Limited Manufacturing,Limited Manufacturing,Limited manufacturing with higher intensity.,17-5-0100,3.0,"55 ft, 5 stories",None,0,0,30 ft,,,None
M2-1,3,M2-1 General Manufacturing,General Manufacturing,General manufacturing and heavy industrial uses.,17-5-0200,1.0,"30 ft, 2 stories",None,0,0,30 ft,,,None
M2-2,3,M2-2 General Manufacturing,General Manufacturing,General manufacturing with moderate intensity.,17-5-0200,2.2,"45 ft, 4 stories",None,0,0,30 ft,,,None
M2-3,3,M2-3 General Manufacturing,General Manufacturing,General manufacturing with higher intensity.,17-5-0200,3.0,"55 ft, 5 stories",None,0,0,30 ft,,,None
M3-3,3,M3-3 Heavy Manufacturing,Heavy Manufacturing,Heavy industrial and manufacturing uses.,17-5-0300,3.0,"55 ft, 5 stories",None,0,0,30 ft,,,None
